"name","status","address_street","address_street2","address_city","address_state","address_zip","description","population_size","projects","web","issues","org_types"
"Delta Academy I & II (Delta Sigma Theta MBAC)",1,"P.O. Box 1154","","Seaside","CA",93901,"Delta GEMS is an outgrowth and continuation of the Delata Academy Program. Through its goals, Delta Gems provies the framework for high school girls ages 14-18 to actualize the dreams Delta Academy was designed to catch.

Goals: * to Instill in girls the need to excel academically
*To provide tools that will enable girls to sharpen and enhance their skills to acheive high levels of academic success
* To assist girls in proper goal setting and planning for their futures-high school and beyond
* To create compassionate, caring and community-minded young women by actively involving them in service learning and community service
","16-25","Possibly working w/ developing cirriculum for focus projects","http://deltasigmatheta.org","Youth Development|Women's Issues|Nutrition/Fitness|Education","Non-Profit"
"Cabrillo College Math Learning Center",0,"6500 Soquel Drive","","Aptos","CA",95003,"<p>The MLC wa created to help Cabrillo Math students develop problem solving skills. The goal is to help students obtain the confidence and ability to tackle math problems on their own.</p>","over 3,000","<p>N/A</p>","http://elcazo.cabrillo.edu","Education","Non-Profit"
"MESA Schools Program",0,"1101 Pacific Ave, Suite 210","","Santa Cruz","CA",95060,"",450,"Training site for judges and teachers","http://epc.ucsc.edu/site/MESA/65","Education|Before/After School","Government|College/University"
"Every Neighborhood Partnership",1,"7676 N. Palm Avenue","","Fresno","",93711,"<p>OUR MISSION: to equip churches to partner with and serve elementary school neighborhoods through their active presence in the community.</p>","","","http://everyneighborhood.org/","",""
"First Night Monterey",1,"542 Archer Street","","Monterey","CA",93940,"The mission of First Night Monterey is to bring families together and unite the community; in all its diversity, through the arts.  First Night Monterey ushers in the New Year with entertainment designed for all ages. The streets of historic downtown Monterey transform into a festive setting featuring an array of displays, food, and performances.","30,000","1. First film - coordinate FIl Festival at First Night Monterey.
2. Community part project; 
3. All Ad design for Print, Television and Radio.","http://firstnightmonterey.org/","Education|Before/After School|Arts","Non-Profit"
"Gateway School's Lifelab Science",1,"126 Eucalyptus Ave","","Santa Cruz","CA",95065,"Private/ Independent school",270,"","http://gatewaysc.org","Environment|Education","Non-Profit"
"Gault Elementary School",1,"1320 Seabright Ave.","","Santa Cruz","CA",95060,"Elementary school education.","","No.","http://gault.santacruz.k12.ca.us","Arts|Before/After School|Education|Literacy|Nutrition/Fitness|Youth Development","Elementary School"
"Global Majority Inc.",0,"479 Pacific Street Suite - 5C","","Monterey","CA",93940,"<p>Global Majority promotes non-violent conflict resolution education, meditation and advocacy.  We believe that principled dialogue is imperative and must replace violent conflict if mankind is to thrive.</p>",1000,"","http://globalmajority.net","Youth Development|Violence Prevention|Global|Education|Advocacy","Non-Profit"
"Vista Verde Middle School - Greenfield USD",1,"1199 Elm Ave.","","Greenfield","CA",93927,"",850,"POSTPONE Program Math Academy: to help kids with advanced math.  School garden.","http://greenfield.k12.ca.us","Before/After School|Education|Health & Human Services|Literacy|Nutrition/Fitness|Youth Development","Middle School"
"H.A. Hyde Elementary School-PVUSD",1,"125 Alta Vista Ave.","","Watsonville","",95076,"<p>To provide education to children living within the attendance area.</p>",600,"","http://hahyde.pvusd.net","Education","Government|Elementary School"
"H.A. Hyde Elementary School - PVUSD",1,"125 Alta Vista Ave","","Watsonville","",95076 ,"<p>H.A. Hyde Elementary School is part of Pajaro Valley Unified School District. School improvement is a high priority at the Pajaro Valley Unified School District (PVUSD).&nbsp; We have fully implemented class size reduction in grades K-3 with a 20:1 student/teacher ratio.&nbsp;&nbsp;&nbsp;&nbsp; Our nationally recognized New Teacher Project provides ongoing coaching and support to improve instruction.</p>",600,"","http://hahyde.pvusd.net/","Education","Government|Elementary School"
"Haven Counseling Center",0,"730 Chester Ave.","","Bakersfield","CA",93301,"The mission of the Kern Child Abuse Prevention Council / Haven Counseling Center is to be a nonprofit organization dedicated to the prevention of child abuse and neglect through advocacy and education.
","","Students interested in 'system and strength-based' approach are welcome to discuss Capstone opportunities.","http://havencounselingcenter.org","Health & Human Services|Housing & Homelessness|Violence Prevention|Women's Issues|Youth Development","Non-Profit"
"Santa Cruz County Human Resources Agency",0,"1000 Emeline Street","","Santa Cruz","CA",95060,"HRA provides social services, employment and training services, veteran's services, income maintenance and public guardian to families, adults, and children.  Programs include:  child welfare services, adoptions, foster care, self-sufficiency, job training partnership act (JTPA), aid to families with dependent children(AFDC), food stamps, medi-cal, GAIN, cal-learn, the public guardian, veterans services, adult protective services, in-home supportive services, child care, summer youth employment, day care licensing.    ",20000,"Unknown-varies","http://hra.co.santa-cruz.ca.us","Health & Human Services|Social Services","Government"
"Linscott Charter School",1,"220 Elm Street","","Watsonville","CA",95076,"K-8. Linscott Charter School is a parent participation school located in Watsonville, California. We were formed to create an environment emphasizing individualized, active, hands-on learning for children in Kindergarten through Eighth Grade. Located in a historic building near downtown Watsonville, we focus on community, in and out of the classroom.",218,"","http://http:\\linscottcharterschool.org","Arts|Education|Environment|Literacy|Nutrition/Fitness","Elementary School|Middle School"
"Gabilan Elementary School",1,"330 North Walker Drive","","Soledad","CA",93960,"Provide a vigorous, high-quality, engaging and targeted educational program that prepares our diverse students to meet or exceed district and state standards, and state and national performance targets that teaches the skills to inspire students to be life-long learners, and supports success in higher education, employment, citizenship, and family life.",560,"Academic support: technology related; fitness-related","http://http:\\soledad.monterey.k12.ca.us","Before/After School|Education|Literacy|Youth Development","Elementary School"
"Watershed Institute, The ",1,"CSUMB, 100 Campus Center, Bldg 42","","Seaside","CA",93955,"The Watershed Institute is a direct action, community-based coalition of researchers, restoration ecologists, eductiors, students, planners, and area volunteers dedicated to restoring the waterseds of the Monterey Bay region.    ","500-600","Many for BUS, Integrated Studies, ESSP.","http://http:\\watershed.csumb.edu","Environment|Education|Agriculture","Non-Profit|College/University"
"Kathryn Hughes Elementary School",1,"4949 Calle de Escuela","","Santa Clara","CA",95054,"Our mission is to promote all students with the love of learning, to provide a safe and integrated academic and social environment, and a comprehensive curriculum. ","","","http://hughes.ca.campusgrid.net/home/Welcome ","Before/After School|Day Care|Education","Elementary School"
"Interfaith Outreach of Carmel",0,"SW  Corner Dolores & 9th St.","","Carmel","CA",93923,"Interfaith Outreach of Carmel is an interfaith organization dedicated to extending a helping hand to the Monterey County Community. ","","","http://ifaithcarmel.org","Social Services|Housing & Homelessness|Health & Human Services","Non-Profit|Faith-Based"
"Interfaith Outreach of Carmel",1,"26358 Carmel Ranch Lane, Suite 1","","Carmel","",93923,"<p class=\"MsoNormal\" style=\"margin-bottom: 12pt;\"><span style=\"font-family: Times;\"> </span></p>
<p class=\"MsoNormal\" style=\"margin-bottom: 12pt;\">
<p class=\"MsoNormal\" style=\"margin-bottom: 12pt;\">Members of IOC faith communities have responded to community needs more effectively as a group, making Joining Hands to Make a Difference an integral part of who we are. Early examples included: supporting the Food Bank for Monterey County, All Saints&rsquo; and Our Lady of Mt. Carmel Food Pantries and the Rice Plus Project that provides 2,600-3,000 pounds of rice and beans in family-sized packages monthly, loading Nancy Costello&rsquo;s truck as she distributes food to migrant agricultural workers, donating blankets to Shelter Outreach Plus, and facilitating donations of women&rsquo;s clothing to the Women Alive! shelter in Salinas run by Dorothy's Place. This last activity has now become a recurring activity of the Friends, other IOC members and the Yellow Brick Road, providing pajamas, underwear and warm clothing for homeless women.&nbsp;</p>
<p class=\"MsoNormal\" style=\"margin-bottom: 12pt;\">&nbsp;</p>
<p class=\"MsoNormal\" style=\"margin-bottom: 12pt;\">For 2008, the IOC planned a showcase of health and human services nonprofit agencies to inform the public, school and health care providers, as well as other groups involved in social justice issues, about the wealth of free or low-cost services available in our county. As the IOC planned this fair, we ran into another organization, Monterey Peninsula&rsquo;s Community of Caring, which was planning a similar event on the same day. As a result, the IOC co-sponsored the event, eventually called the We Care Fair, at Del Monte Center in Monterey. The Community of Caring was working with Pacific Grove and Marina High Schools, with their focus being on finding volunteer opportunities for youth. The focus of the combined fair was on volunteering, with health and human services organizations also represented. The goal of the fair was to foster a community in which service is valued, encouraged and pursued.</p>
